MAF/TIGER Object Identifier,Zip Code Tabulation Area Code,Geographic Identifier,Base Name,Legal/Statistical Area Description Code,Name,ZIP Code Tabulation Area FIPS Class Code,MAF/TIGER Feature Class Code,Functional Status,Land Area (Square Meters),Water Area (Square Meters),Centroid Latitude,Centroid Longitude,Internal Point Latitude,Internal Point Longitude,Decennial Housing Count,Decennial Population Count,Object ID,Shape Area,Shape Length
2.21704E+14,55991,55991,55991,Z5,ZCTA5 55991,B5,G6350,S,140079129,2424182,44.2590212,-92.4198501,44.2612147,-92.4185661,641,1292,24628,277873311.2,98776.84762
2.21704E+14,56653,56653,56653,Z5,ZCTA5 56653,B5,G6350,S,1175734727,2658982,48.2830827,-93.5852531,48.2833848,-93.5749377,681,1207,24629,2659138087,440519.373
2.21704E+14,56230,56230,56230,Z5,ZCTA5 56230,B5,G6350,S,162343929,136050,44.7927572,-95.0928702,44.7921135,-95.088916,358,794,24630,322647220.1,143428.4726
2.21704E+14,55946,55946,55946,Z5,ZCTA5 55946,B5,G6350,S,340037213,57701,44.2612916,-92.9599907,44.2621072,-92.9501472,1427,3288,24631,663216583.6,160148.8538
2.21704E+14,56129,56129,56129,Z5,ZCTA5 56129,B5,G6350,S,122994564,51420,43.5277783,-96.0432911,43.5292027,-96.0418959,336,754,24632,234151752.6,87021.61087
2.21704E+14,55704,55704,55704,Z5,ZCTA5 55704,B5,G6350,S,140095115,511700,46.2057058,-92.7657994,46.2190854,-92.7516671,574,1072,24633,293486304.4,112748.4851
2.21704E+14,51363,51363,51363,Z5,ZCTA5 51363,B5,G6350,S,1098953,0,43.4336765,-94.9467446,43.4336765,-94.9467446,56,132,24634,2084810.406,5839.240006
2.21704E+14,52555,52555,52555,Z5,ZCTA5 52555,B5,G6350,S,55289663,21216,40.6390209,-92.8104542,40.6443154,-92.8162266,149,311,24635,96154898.66,59295.76338
2.21704E+14,50448,50448,50448,Z5,ZCTA5 50448,B5,G6350,S,162000951,105836,43.3505592,-93.2475408,43.3499394,-93.240534,322,713,24636,306693956,125186.5888
2217026263558984,52071,52071,52071,Z5,ZCTA5 52071,B5,G6350,S,1116891,0,42.3623832,-90.5423453,42.3623832,-90.5423453,62,120,24637,2046987.344,6874.265888
2217026263558985,50831,50831,50831,Z5,ZCTA5 50831,B5,G6350,S,580400,1275,40.9494174,-94.2234108,40.9508438,-94.2223634,17,38,24638,1020634.492,5288.210175
2217026263558991,52568,52568,52568,Z5,ZCTA5 52568,B5,G6350,S,678266,0,41.1778979,-92.2507711,41.1778979,-92.2507711,37,97,24639,1198352.738,5341.589614
2.21704E+14,24476,24476,24476,Z5,ZCTA5 24476,B5,G6350,S,19079401,18933,37.9723136,-79.2200062,37.9744658,-79.2273608,146,315,24640,30783385.91,35588.90775
